audio_file,raw_text,label
/kaggle/input/meld-audio/MELD_audio/train_audio/dia0_utt0.wav,also I was the point person on my companys transition from the KL-5 to GR-6 system.,0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia0_utt4.wav,My duties?  All right.,2
/kaggle/input/meld-audio/MELD_audio/train_audio/dia0_utt7.wav,But therell be perhaps 30 people under you so you can dump a certain amount on them.,0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia0_utt11.wav,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia1_utt2.wav,"No-no-no-no, no! Who, who were you talking about?",2
/kaggle/input/meld-audio/MELD_audio/train_audio/dia2_utt6.wav,Just coffee! Where are we gonna hang out now?,5
/kaggle/input/meld-audio/MELD_audio/train_audio/dia4_utt8.wav,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",1
/kaggle/input/meld-audio/MELD_audio/train_audio/dia4_utt11.wav,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",4
/kaggle/input/meld-audio/MELD_audio/train_audio/dia6_utt6.wav,"I love the specifics, the specifics were the best part!",1
/kaggle/input/meld-audio/MELD_audio/train_audio/dia6_utt7.wav,"Hey, what about the scene with the kangaroo? Did-did you like that part?",0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia6_utt8.wav,I was surprised to see a kangaroo in a World War I epic.,2
/kaggle/input/meld-audio/MELD_audio/train_audio/dia7_utt1.wav,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",3
/kaggle/input/meld-audio/MELD_audio/train_audio/dia8_utt0.wav,"Yes, and it is my dying wish to have that ring.",0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia8_utt1.wav,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia8_utt3.wav,I dont know.  Let me see the ring.,0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia9_utt1.wav,"Oh, you know, the usual, teaching aerobics, partying way too much.",0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia9_utt2.wav,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia9_utt3.wav,Can you hold on a moment? I have another call.  I love her.,1
/kaggle/input/meld-audio/MELD_audio/train_audio/dia9_utt7.wav,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia9_utt10.wav,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",0
/kaggle/input/meld-audio/MELD_audio/train_audio/dia9_utt11.wav,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",0
